Combustion Inc. Probe Data
App: inc.combustion.app v1.4.1-13-g04b9 debug
CSV version: 4
Probe S/N: 10000170
Probe FW version: v1.2.1
Probe HW revision: v0.35
Framework: Android v1.2.0 debug
Sample Period: 5000
Created: 2023-09-26 19:50:26

Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
0.000,657681738,0,19.85,19.85,19.85,19.80,20.15,20.15,20.15,20.05,19.85,19.80,20.15,19.80,0.00,T1,T4,T7,Probe Not Inserted,None,None,131071
5.000,657681738,1,19.90,19.95,20.00,19.95,20.10,20.10,19.95,19.95,19.90,19.95,19.95,19.80,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
10.000,657681738,2,19.90,20.10,20.45,20.50,20.20,20.00,19.90,19.90,19.90,20.50,19.90,19.90,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
15.000,657681738,3,20.05,20.25,20.65,20.65,20.25,20.15,20.10,20.05,20.05,20.65,20.05,19.90,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
20.000,657681738,4,20.05,20.25,20.45,20.20,20.15,20.10,20.20,20.00,20.05,20.20,20.00,20.00,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
25.000,657681738,5,19.05,20.15,20.30,20.05,20.05,19.85,20.05,19.95,19.05,20.05,19.95,19.50,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
30.000,657681738,6,15.80,17.10,18.20,18.40,19.90,19.80,20.00,19.90,15.80,18.40,19.90,17.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
35.000,657681738,7,15.05,15.70,16.35,16.45,18.50,19.00,19.55,19.70,15.05,16.45,19.70,16.30,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
40.000,657681738,8,14.80,15.20,15.60,15.70,17.15,17.80,18.50,19.30,14.80,15.70,19.30,15.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
45.000,657681738,9,14.70,15.05,15.30,15.40,16.50,17.00,17.80,18.95,14.70,15.40,18.95,15.10,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
50.000,657681738,10,14.65,14.95,15.10,15.20,16.15,16.60,17.45,18.85,14.65,15.20,18.85,14.90,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
55.000,657681738,11,14.60,14.85,15.00,15.10,15.95,16.40,17.25,18.80,14.60,15.10,18.80,14.70,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
60.000,657681738,12,14.60,14.80,14.95,15.05,15.75,16.20,17.05,18.70,14.60,15.05,18.70,14.70,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
65.000,657681738,13,14.60,14.75,14.90,15.00,15.65,16.10,17.00,18.55,14.60,15.00,18.55,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
70.000,657681738,14,14.55,14.75,14.85,14.95,15.70,16.10,17.00,18.60,14.55,14.95,18.60,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
75.000,657681738,15,14.60,14.70,14.85,14.95,15.55,16.00,16.90,18.45,14.60,14.95,18.45,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
80.000,657681738,16,14.55,14.65,14.80,14.90,15.45,15.85,16.80,18.35,14.55,14.90,18.35,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
85.000,657681738,17,14.55,14.65,14.75,14.85,15.40,15.90,16.75,18.40,14.55,14.85,18.40,14.50,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
90.000,657681738,18,14.60,14.65,14.75,14.85,15.40,15.90,16.70,18.25,14.60,14.85,18.25,14.50,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
95.000,657681738,19,14.55,14.60,14.75,14.85,15.45,15.95,16.75,18.35,14.55,14.85,18.35,14.50,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
100.000,657681738,20,14.60,14.60,14.75,14.85,15.55,15.95,16.80,18.35,14.60,14.85,18.35,14.50,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
105.000,657681738,21,14.60,14.60,14.75,14.85,15.35,15.85,16.65,18.15,14.60,14.85,18.15,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
110.000,657681738,22,14.55,14.60,14.75,14.85,15.40,15.85,16.70,18.20,14.55,14.85,18.20,14.50,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
115.000,657681738,23,14.60,14.60,14.75,14.85,15.40,15.80,16.65,18.15,14.60,14.85,18.15,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
120.000,657681738,24,14.60,14.65,14.75,14.85,15.30,15.75,16.65,18.10,14.60,14.85,18.10,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
125.000,657681738,25,14.60,14.65,14.75,14.85,15.35,15.75,16.60,18.10,14.60,14.85,18.10,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
130.000,657681738,26,14.60,14.65,14.75,14.85,15.40,15.85,16.55,18.05,14.60,14.85,18.05,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
135.000,657681738,27,14.60,14.65,14.75,14.85,15.45,15.85,16.60,18.05,14.60,14.85,18.05,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
140.000,657681738,28,14.60,14.65,14.75,14.85,15.25,15.80,16.55,18.00,14.60,14.85,18.00,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
145.000,657681738,29,14.60,14.65,14.75,14.85,15.35,15.85,16.55,17.95,14.60,14.85,17.95,14.60,0.00,T1,T4,T8,Probe Not Inserted,None,None,131071
