Combustion Inc. Probe Data
App: iOS Prod app 1.6.1
CSV version: 4
Probe S/N: 10002351
Probe FW version: v1.3.0
Probe HW revision: v1.1-A1
Framework: iOS
Sample Period: 5000
Created: 2023-10-29 19:03:12

Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds,Notes
5,3274930878,1,19.1,19.1,19.1,19.05,19.5,19.45,19.55,20.2,19.1,19.05,20.2,19.1,0,T1,T4,T8,Probe Not Inserted,None,None,131071,
10,3274930878,2,8.1,11.65,11.1,10.8,18.1,18.9,19.35,21.15,8.1,10.8,21.15,13.6,0,T1,T4,T8,Probe Inserted,None,None,131071,
15,3274930878,3,6.7,7.15,6.45,6.9,13.2,14.75,16.4,20.7,6.45,6.9,20.7,10,0,T3,T4,T8,Probe Inserted,None,None,131071,
20,3274930878,4,5.85,5.7,5.15,5.45,9.4,11.05,13.55,19.95,5.15,5.45,19.95,7.6,0,T3,T4,T8,Probe Inserted,None,None,131071,
25,3274930878,5,5.15,4.95,4.4,4.55,7.15,8.6,11.7,19.05,4.4,4.55,19.05,6,0,T3,T4,T8,Probe Inserted,None,None,131071,
30,3274930878,6,4.6,4.4,3.95,3.95,5.7,6.9,10.3,18.45,3.95,6.9,18.45,4.9,0,T3,T6,T8,Probe Inserted,None,None,131071,
35,3274930878,7,4.15,4,3.6,3.55,4.85,6,9.5,18,3.55,6,18,4.2,0,T4,T6,T8,Probe Inserted,None,None,131071,
40,3274930878,8,3.85,3.7,3.35,3.25,4.1,5.25,8.8,17.6,3.25,5.25,17.6,3.7,0,T4,T6,T8,Probe Inserted,None,None,131071,
45,3274930878,9,3.65,3.5,3.2,3.05,3.75,4.85,8.25,17.25,3.05,4.85,17.25,3.4,0,T4,T6,T8,Probe Inserted,None,None,131071,
50,3274930878,10,3.45,3.3,3.05,2.9,3.4,4.35,8,17.05,2.9,4.35,17.05,3.1,0,T4,T6,T8,Probe Inserted,None,None,131071,
55,3274930878,11,3.3,3.15,2.9,2.75,3.1,3.95,7.7,16.7,2.75,3.95,16.7,2.9,0,T4,T6,T8,Probe Inserted,None,None,131071,
60,3274930878,12,3.2,3.05,2.8,2.7,2.9,3.85,7.45,16.25,2.7,3.85,16.25,2.8,0,T4,T6,T8,Probe Inserted,None,None,131071,
65,3274930878,13,3.05,2.95,2.75,2.65,2.85,3.75,7.5,16.05,2.65,3.75,16.05,2.7,0,T4,T6,T8,Probe Inserted,None,None,131071,
70,3274930878,14,3,2.9,2.7,2.55,2.75,3.75,7.35,15.95,2.55,3.75,15.95,2.6,0,T4,T6,T8,Probe Inserted,None,None,131071,
75,3274930878,15,2.95,2.85,2.6,2.5,2.8,3.65,7.35,15.75,2.5,3.65,15.75,2.5,0,T4,T6,T8,Probe Inserted,None,None,131071,
80,3274930878,16,2.85,2.8,2.6,2.45,2.65,3.6,7.2,15.65,2.45,3.6,15.65,2.5,0,T4,T6,T8,Probe Inserted,None,None,131071,
85,3274930878,17,2.85,2.75,2.55,2.45,2.6,3.65,7.3,15.6,2.45,3.65,15.6,2.5,0,T4,T6,T8,Probe Inserted,None,None,131071,
90,3274930878,18,2.75,2.7,2.5,2.4,2.6,3.6,7.25,15.55,2.4,3.6,15.55,2.4,0,T4,T6,T8,Probe Inserted,None,None,131071,
95,3274930878,19,2.75,2.65,2.5,2.35,2.6,3.5,7.4,15.5,2.35,3.5,15.5,2.4,0,T4,T6,T8,Probe Inserted,None,None,131071,
100,3274930878,20,2.75,2.65,2.5,2.35,2.45,3.55,7.4,15.4,2.35,3.55,15.4,2.4,0,T4,T6,T8,Probe Inserted,None,None,131071,
105,3274930878,21,2.7,2.6,2.45,2.35,2.65,3.65,7.5,15.45,2.35,3.65,15.45,2.3,0,T4,T6,T8,Probe Inserted,None,None,131071,
110,3274930878,22,2.7,2.55,2.45,2.3,2.5,3.6,7.55,15.45,2.3,3.6,15.45,2.3,0,T4,T6,T8,Probe Inserted,None,None,131071,
115,3274930878,23,2.65,2.55,2.4,2.3,2.45,3.55,7.45,15.25,2.3,3.55,15.25,2.3,0,T4,T6,T8,Probe Inserted,None,None,131071,
120,3274930878,24,2.65,2.55,2.4,2.25,2.4,3.45,7.35,15.2,2.25,3.45,15.2,2.3,0,T4,T6,T8,Probe Inserted,None,None,131071,
125,3274930878,25,2.65,2.5,2.4,2.3,2.35,3.55,7.35,15.1,2.3,3.55,15.1,2.3,0,T4,T6,T8,Probe Inserted,None,None,131071,
130,3274930878,26,2.65,2.55,2.35,2.3,2.5,3.7,7.5,15.1,2.3,3.7,15.1,2.3,0,T4,T6,T8,Probe Inserted,None,None,131071,
135,3274930878,27,2.6,2.5,2.35,2.25,2.45,3.65,7.45,15.1,2.25,3.65,15.1,2.3,0,T4,T6,T8,Probe Inserted,None,None,131071,
140,3274930878,28,2.6,2.5,2.35,2.25,2.45,3.6,7.35,15.05,2.25,3.6,15.05,2.2,0,T4,T6,T8,Probe Inserted,None,None,131071,
145,3274930878,29,2.6,2.5,2.35,2.25,2.4,3.6,7.3,14.95,2.25,3.6,14.95,2.2,0,T4,T6,T8,Probe Inserted,None,None,131071,
150,3274930878,30,2.6,2.5,2.35,2.25,2.6,3.7,7.35,15.05,2.25,3.7,15.05,2.2,0,T4,T6,T8,Probe Inserted,None,None,131071,
155,3274930878,31,2.6,2.45,2.3,2.25,2.5,3.65,7.35,14.95,2.25,3.65,14.95,2.2,0,T4,T6,T8,Probe Inserted,None,None,131071,
160,3274930878,32,2.6,2.45,2.3,2.25,2.55,3.75,7.4,14.95,2.25,3.75,14.95,2.2,0,T4,T6,T8,Probe Inserted,None,None,131071,
165,3274930878,33,2.55,2.45,2.3,2.2,2.4,3.6,7.35,14.95,2.2,3.6,14.95,2.2,0,T4,T6,T8,Probe Inserted,None,None,131071,
