Combustion Inc. Probe Data
App: iOS Prod app 1.5.0
CSV version: 4
Probe S/N: 10003925
Probe FW version: v1.2.1
Probe HW revision: v1.1-A1
Framework: iOS
Sample Period: 5000
Created: 2023-09-03 15:39:16

Timestamp,SessionID,SequenceNumber,T1,T2,T3,T4,T5,T6,T7,T8,VirtualCoreTemperature,VirtualSurfaceTemperature,VirtualAmbientTemperature,EstimatedCoreTemperature,PredictionSetPoint,VirtualCoreSensor,VirtualSurfaceSensor,VirtualAmbientSensor,PredictionState,PredictionMode,PredictionType,PredictionValueSeconds
1105.000,2491757006,221,15.40,14.15,14.35,15.50,26.55,48.20,86.45,112.40,14.15,48.20,112.40,14.00,95.00,T2,T6,T8,Cooking,None,None,131071
1110.000,2491757006,222,15.50,14.25,14.45,15.60,26.70,48.30,86.35,112.35,14.25,48.30,112.35,14.10,95.00,T2,T6,T8,Cooking,None,None,131071
1115.000,2491757006,223,15.60,14.30,14.50,15.70,26.75,48.35,86.50,112.40,14.30,48.35,112.40,14.20,95.00,T2,T6,T8,Cooking,None,None,131071
1120.000,2491757006,224,15.65,14.40,14.60,15.75,26.90,48.50,86.50,112.45,14.40,48.50,112.45,14.30,95.00,T2,T6,T8,Cooking,None,None,131071
1125.000,2491757006,225,15.75,14.45,14.70,15.85,27.30,48.60,86.60,112.50,14.45,48.60,112.50,14.40,95.00,T2,T6,T8,Cooking,None,None,131071
1130.000,2491757006,226,15.85,14.55,14.80,15.95,27.35,48.75,86.65,112.60,14.55,48.75,112.60,14.40,95.00,T2,T6,T8,Cooking,None,None,131071
1135.000,2491757006,227,15.95,14.65,14.85,16.05,27.45,48.80,86.80,112.65,14.65,48.80,112.65,14.50,95.00,T2,T6,T8,Cooking,None,None,131071
1140.000,2491757006,228,16.00,14.70,14.95,16.10,27.60,48.95,87.00,112.70,14.70,48.95,112.70,14.60,95.00,T2,T6,T8,Cooking,None,None,131071
1145.000,2491757006,229,16.10,14.80,15.05,16.20,27.70,49.05,87.10,112.85,14.80,49.05,112.85,14.70,95.00,T2,T6,T8,Cooking,None,None,131071
1150.000,2491757006,230,16.20,14.90,15.15,16.30,27.85,49.15,87.30,112.90,14.90,49.15,112.90,14.80,95.00,T2,T6,T8,Cooking,None,None,131071
1155.000,2491757006,231,16.30,15.00,15.20,16.40,27.90,49.30,87.50,113.10,15.00,49.30,113.10,14.90,95.00,T2,T6,T8,Cooking,None,None,131071
1160.000,2491757006,232,16.35,15.05,15.35,16.50,28.05,49.45,87.60,113.15,15.05,49.45,113.15,15.00,95.00,T2,T6,T8,Cooking,None,None,131071
1165.000,2491757006,233,16.45,15.15,15.40,16.60,28.10,49.50,87.50,113.15,15.15,49.50,113.15,15.00,95.00,T2,T6,T8,Cooking,None,None,131071
1170.000,2491757006,234,16.55,15.25,15.50,16.65,28.30,49.60,87.35,113.15,15.25,49.60,113.15,15.10,95.00,T2,T6,T8,Cooking,None,None,131071
1175.000,2491757006,235,16.65,15.30,15.60,16.75,28.40,49.70,87.35,113.10,15.30,49.70,113.10,15.20,95.00,T2,T6,T8,Cooking,None,None,131071
1180.000,2491757006,236,16.75,15.40,15.70,16.85,28.55,49.80,87.50,113.10,15.40,49.80,113.10,15.30,95.00,T2,T6,T8,Cooking,None,None,131071
1185.000,2491757006,237,16.80,15.50,15.75,16.95,28.60,49.90,87.60,113.20,15.50,49.90,113.20,15.40,95.00,T2,T6,T8,Cooking,None,None,131071
1190.000,2491757006,238,16.95,15.55,15.85,17.05,28.70,49.95,87.85,113.30,15.55,49.95,113.30,15.50,95.00,T2,T6,T8,Cooking,None,None,131071
1195.000,2491757006,239,17.00,15.70,15.95,17.15,28.80,50.10,87.85,113.35,15.70,50.10,113.35,15.60,95.00,T2,T6,T8,Cooking,None,None,131071
1200.000,2491757006,240,17.10,15.75,16.05,17.25,28.90,50.20,87.90,113.40,15.75,50.20,113.40,15.60,95.00,T2,T6,T8,Cooking,None,None,131071
1205.000,2491757006,241,17.20,15.85,16.10,17.35,29.05,50.30,88.10,113.50,15.85,50.30,113.50,15.70,95.00,T2,T6,T8,Cooking,None,None,131071
1210.000,2491757006,242,17.30,15.95,16.20,17.45,29.15,50.40,88.10,113.55,15.95,50.40,113.55,15.80,95.00,T2,T6,T8,Cooking,None,None,131071
1215.000,2491757006,243,17.35,16.05,16.30,17.55,29.30,50.50,87.85,113.45,16.05,50.50,113.45,15.90,95.00,T2,T6,T8,Cooking,None,None,131071
1220.000,2491757006,244,17.45,16.10,16.40,17.65,29.45,50.60,87.95,113.45,16.10,50.60,113.45,16.00,95.00,T2,T6,T8,Cooking,None,None,131071
1225.000,2491757006,245,17.55,16.25,16.50,17.75,29.45,50.65,88.15,113.55,16.25,50.65,113.55,16.10,95.00,T2,T6,T8,Cooking,None,None,131071
1230.000,2491757006,246,17.65,16.30,16.55,17.85,29.60,50.75,88.15,113.60,16.30,50.75,113.60,16.20,95.00,T2,T6,T8,Cooking,None,None,131071
1235.000,2491757006,247,17.75,16.40,16.65,17.95,29.80,50.90,88.25,113.70,16.40,50.90,113.70,16.30,95.00,T2,T6,T8,Cooking,None,None,131071
1240.000,2491757006,248,17.80,16.50,16.80,18.05,29.75,50.95,88.40,113.65,16.50,50.95,113.65,16.40,95.00,T2,T6,T8,Cooking,None,None,131071
1245.000,2491757006,249,17.90,16.60,16.85,18.15,29.90,51.05,88.40,113.70,16.60,51.05,113.70,16.50,95.00,T2,T6,T8,Cooking,None,None,131071
1250.000,2491757006,250,18.00,16.70,16.95,18.20,30.00,51.20,88.45,113.70,16.70,51.20,113.70,16.60,95.00,T2,T6,T8,Cooking,None,None,131071
1255.000,2491757006,251,18.10,16.75,17.05,18.30,30.15,51.25,88.65,113.80,16.75,51.25,113.80,16.60,95.00,T2,T6,T8,Cooking,None,None,131071
1260.000,2491757006,252,18.20,16.85,17.15,18.40,30.30,51.35,88.70,113.95,16.85,51.35,113.95,16.70,95.00,T2,T6,T8,Cooking,None,None,131071
1265.000,2491757006,253,18.30,16.95,17.25,18.55,30.35,51.45,88.75,113.95,16.95,51.45,113.95,16.80,95.00,T2,T6,T8,Cooking,None,None,131071
1270.000,2491757006,254,18.40,17.05,17.35,18.65,30.50,51.55,88.60,113.95,17.05,51.55,113.95,16.90,95.00,T2,T6,T8,Cooking,None,None,131071
1275.000,2491757006,255,18.50,17.10,17.40,18.75,30.60,51.60,88.55,113.85,17.10,51.60,113.85,17.00,95.00,T2,T6,T8,Cooking,None,None,131071
1280.000,2491757006,256,18.60,17.25,17.50,18.85,30.70,51.70,88.45,113.80,17.25,51.70,113.80,17.10,95.00,T2,T6,T8,Cooking,None,None,131071
1285.000,2491757006,257,18.70,17.35,17.60,18.95,30.75,51.75,88.60,113.80,17.35,51.75,113.80,17.20,95.00,T2,T6,T8,Cooking,None,None,131071
1290.000,2491757006,258,18.75,17.40,17.70,19.05,30.90,51.85,88.65,113.90,17.40,51.85,113.90,17.30,95.00,T2,T6,T8,Cooking,None,None,131071
